Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Kraken_mqc-generalstats-kraken-Blautia_hansenii	Kraken_mqc-generalstats-kraken-Top_5	Kraken_mqc-generalstats-kraken-Unclassified	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct
FilteredData | 2282_6_R1	34.60901921029706	46.0	140.68440784226027	0.0	9175773.0				
FilteredData | 2282_6_R2	34.40889884802894	47.0	140.58393826874314	0.0	9175773.0				
FilteredData | 3029_4_R1	22.91362876737712	46.0	140.54239054355233	0.0	8686560.0				
FilteredData | 3029_4_R2	23.37520495757721	46.0	140.4541073796762	0.0	8686560.0				
FilteredData | 3326_0_R1	22.27884199512839	43.0	140.62487236068273	0.0	10575699.0				
FilteredData | 3326_0_R2	21.573946898703667	43.0	140.36120884302778	0.0	10575699.0				
FilteredData | 3510_1_R1	31.149483607065136	48.0	140.52434476545764	9.090909090909092	8610619.0				
FilteredData | 3510_1_R2	32.061137033561806	48.0	140.43342249842897	9.090909090909092	8610619.0				
FilteredData | 3790_1_R1	19.752644035595495	44.0	140.60633592203425	9.090909090909092	7961651.0				
FilteredData | 3790_1_R2	18.86146085272263	45.0	140.25838711091455	9.090909090909092	7961651.0				
FilteredData | 5235_0_R1	28.919566825067463	45.0	140.68903150345045	0.0	10693781.0				
FilteredData | 5235_0_R2	28.573943371741365	45.0	140.51794823552117	0.0	10693781.0				
FilteredData | 5235_1_R1	25.808457691892784	47.0	140.6473442684894	0.0	11305981.0				
FilteredData | 5235_1_R2	24.987333385135017	47.0	140.51117191865083	0.0	11305981.0				
FilteredData | 5235_4_R1	23.152313473207926	48.0	140.63421670176928	0.0	9146995.0				
FilteredData | 5235_4_R2	22.53853050905991	48.0	140.4315296990979	0.0	9146995.0				
FilteredData | 5235_6_R1	20.97584694841761	46.0	140.6686591374339	0.0	8696238.0				
FilteredData | 5235_6_R2	20.81702525641819	47.0	140.5642133989433	0.0	8696238.0				
FilteredData | 7344_0_R1	20.01690237700892	44.0	140.58071191799462	0.0	10122458.0				
FilteredData | 7344_0_R2	19.484589026924738	44.0	140.29047035808892	9.090909090909092	10122458.0				
FilteredData | 7344_1_R1	40.21830243834413	44.0	140.66438212113678	0.0	9766348.0				
FilteredData | 7344_1_R2	37.130480593742035	44.0	140.2078486246855	0.0	9766348.0				
FilteredData | 7344_4_R1	26.348264771798526	44.0	140.67330119018146	0.0	7835780.0				
FilteredData | 7344_4_R2	25.839993890794773	44.0	140.40057518204952	0.0	7835780.0				
FilteredData | 7344_6_R1	34.14683405748522	44.0	140.66707680227552	0.0	7320343.0				
FilteredData | 7344_6_R2	33.43634587810054	45.0	140.5534229748524	0.0	7320343.0				
FilteredData | 7412_0_R1	29.19300634901107	43.0	140.63753203739415	0.0	9478377.0				
FilteredData | 7412_0_R2	28.37876644584715	44.0	140.3689432273057	0.0	9478377.0				
FilteredData | 7909_0_R1	40.04535505402115	48.0	140.54548909880327	9.090909090909092	10513387.0				
FilteredData | 7909_0_R2	40.37146368170801	48.0	140.51040497225108	9.090909090909092	10513387.0				
FilteredData | 7909_1_R1	29.73398798152698	47.0	140.64232604146852	0.0	9199750.0				
FilteredData | 7909_1_R2	29.2121518429351	47.0	140.42877632544364	0.0	9199750.0				
FilteredData | 7909_4_R1	24.551805141725595	46.0	140.59141440980903	0.0	9196083.0				
FilteredData | 7909_4_R2	25.23730991082519	46.0	140.53975458899185	0.0	9196083.0				
FilteredData | 7909_6_R1	29.212521621233407	47.0	140.60679899016804	0.0	11596781.0				
FilteredData | 7909_6_R2	28.700756531245958	48.0	140.40963712257738	0.0	11596781.0				
FilteredData | 9045_1_R1	36.71456360101678	45.0	140.58923766534224	0.0	8271328.0				
FilteredData | 9045_1_R2	37.49679061883641	45.0	140.56226871912224	0.0	8271328.0				
FilteredData | 9255_1_R1	38.85610275182951	45.0	140.61002211813272	0.0	9059083.0				
FilteredData | 9255_1_R2	37.992608060072655	45.0	140.33498809978892	0.0	9059083.0				
FilteredData | 9353_0_R1	37.81832649306398	45.0	140.62930362833194	0.0	7856365.0				
FilteredData | 9353_0_R2	37.47922601216476	45.0	140.41328820644154	0.0	7856365.0				
FilteredData | 9356_0_R1	24.56694804221128	48.0	140.60243728464516	9.090909090909092	10430460.0				
FilteredData | 9356_0_R2	24.078351334401674	48.0	140.41483060191018	9.090909090909092	10430460.0				
FilteredData | 9432_4_R1	28.613930844280006	47.0	140.58991878112866	0.0	9604295.0				
FilteredData | 9432_4_R2	29.040227331077233	47.0	140.53416237214705	0.0	9604295.0				
FilteredData | 9532_0_R1	38.411205849328645	45.0	140.68748531240476	0.0	8114841.0				
FilteredData | 9532_0_R2	37.4862873983258	45.0	140.5386783302347	0.0	8114841.0				
FilteredData | 9648_0_R1	37.31272329392519	43.0	140.62988339728557	0.0	7174104.0				
FilteredData | 9648_0_R2	35.865197709586894	43.0	140.23824201600647	0.0	7174104.0				
FilteredData | 9824_6_R1	18.845274987186826	46.0	140.53868637295824	0.0	8218695.0				
FilteredData | 9824_6_R2	18.431622845605247	46.0	140.2810578808436	0.0	8218695.0				
FilteredData | C0_R1	36.47943145926625	45.0	140.62579923172237	0.0	10874975.0				
FilteredData | C0_R2	36.19512836948867	45.0	140.48360846806546	0.0	10874975.0				
FilteredData | C1_R1	35.8223726942352	45.0	140.6459945566605	9.090909090909092	9205011.0				
FilteredData | C1_R2	35.44099022788794	45.0	140.51033181818033	9.090909090909092	9205011.0				
FilteredData | C4_R1	18.772017214412713	46.0	140.60758632815933	0.0	9548941.0				
FilteredData | C4_R2	18.966142964865867	46.0	140.47438789285638	0.0	9548941.0				
FilteredData | C6_R1	29.439483722213524	44.0	140.55348335162662	0.0	9012412.0				
FilteredData | C6_R2	30.122146651454344	44.0	140.42677642788635	0.0	9012412.0				
FilteredData | I0_R1	28.1677284806711	43.0	140.66879417556058	9.090909090909092	8467493.0				
FilteredData | I0_R2	28.923236049456463	43.0	140.57580596759868	0.0	8467493.0				
FilteredData | I1_R1	23.837692392643092	45.0	140.62637027764245	0.0	7783824.0				
FilteredData | I1_R2	23.68438578294618	45.0	140.54566084741896	0.0	7783824.0				
FilteredData | I4_R1	21.58914233053555	46.0	140.63629312477647	0.0	9070076.0				
FilteredData | I4_R2	22.104736196617196	47.0	140.60741629948856	0.0	9070076.0				
FilteredData | I6_R1	25.60020108543347	46.0	140.68669909464353	0.0	10199629.0				
FilteredData | I6_R2	25.269774127871443	46.0	140.58648574374618	0.0	10199629.0				
FilteredData | MOCKCOMMUNITY_R1	30.724746245321228	52.0	140.48972492111992	0.0	9543917.0				
FilteredData | MOCKCOMMUNITY_R2	29.67094983628479	52.0	140.21881707479224	0.0	9543917.0				
QualityControl | 0206_0_kraken.Standard						2.959629150356303	4.467674732407653	86.34618504781363	
QualityControl | 1120_0_kraken.Standard						10.69488189412825	14.085325530829655	65.03636068935651	
QualityControl | 1363_4_kraken.Standard						3.151245823953075	6.838849367353025	81.75524003459472	
QualityControl | 1433_4_kraken.Standard						1.8533328926228356	3.804794724737856	89.08380645057751	
QualityControl | 1451_6_kraken.Standard						4.476165978277788	7.035015323987322	83.82785101225038	
QualityControl | 1455_6_kraken.Standard						0.488306011917514	4.800895794655455	83.0325999763447	
QualityControl | 1538_6_kraken.Standard						0.8030275778598587	1.0171143668015659	92.57580273313242	
QualityControl | 1640_0_kraken.Standard						2.9658721881545693	3.2148554985645976	86.58260732548956	
QualityControl | 2282_0_kraken.Standard						0.7461726455384853	1.0711936782012432	89.36845618616022	
QualityControl | 2282_1_kraken.Standard						0.49938203981944546	2.2387964168395507	77.6345256253695	
QualityControl | 2282_4_kraken.Standard						1.194579696812294	1.9513697906644123	76.44977117142435	
QualityControl | 2282_6_kraken.Standard						0.3246998644524548	0.5958820816948954	76.22693617024058	
QualityControl | 3029_4_kraken.Standard						0.6947004673272086	29.38357951624078	55.917500132655505	
QualityControl | 3326_0_kraken.Standard						1.2171165220801952	3.195462778465404	83.3010858323759	
QualityControl | 3510_1_kraken.Standard						0.005216091665972154	4.06093600562596	21.483493562009883	
QualityControl | 3790_1_kraken.Standard						1.9604550905013975	5.179269831527488	84.37817730449865	
QualityControl | 5235_0_kraken.Standard						1.796537785835784	4.4936437082686105	86.51114718948179	
QualityControl | 5235_1_kraken.Standard						0.986984391215354	2.868825561976223	80.80367075976484	
QualityControl | 5235_4_kraken.Standard						1.7599423017718243	2.668291868374388	87.86796244504104	
QualityControl | 5235_6_kraken.Standard						1.0264541750239944	3.8506887970620522	85.4630773740079	
QualityControl | 7344_0_kraken.Standard						4.357088332220558	12.64962902246005	70.0982804490274	
QualityControl | 7344_1_kraken.Standard						2.6015611762724546	3.632865069180001	81.58299322200307	
QualityControl | 7344_4_kraken.Standard						5.433361717870458	17.336905320027686	70.01571036290747	
QualityControl | 7344_6_kraken.Standard						6.477447530217987	7.209008176997141	81.38102763483865	
QualityControl | 7412_0_kraken.Standard						2.1761482802728436	2.460778161773915	80.49852083512971	
QualityControl | 7909_0_kraken.Standard						0.004281874568608258	19.822354423385303	48.28171506640703	
QualityControl | 7909_1_kraken.Standard						3.5489990188967506	5.722513393164879	83.69501128723954	
QualityControl | 7909_4_kraken.Standard						1.0279515403127268	1.331547614776234	89.81265176813754	
QualityControl | 7909_6_kraken.Standard						1.2838521029554526	1.4564510203365466	89.87983000843164	
QualityControl | 9045_1_kraken.Standard						0.7367110090224259	1.578918493157472	91.10123335409426	
QualityControl | 9255_1_kraken.Standard						1.3427467155831765	1.9249177778420306	91.28191302340272	
QualityControl | 9353_0_kraken.Standard						0.5980565611614105	1.2629527167138948	74.30385391603409	
QualityControl | 9356_0_kraken.Standard						5.760340040099033	9.189647273910412	79.32433523541779	
QualityControl | 9432_4_kraken.Standard						0.9409597531496832	15.294647814183177	69.21295032087441	
QualityControl | 9532_0_kraken.Standard						3.0534448952890063	3.8273027825398103	87.64644970687576	
QualityControl | 9648_0_kraken.Standard						2.776609065690755	8.539540367485818	81.64285072221297	
QualityControl | 9824_6_kraken.Standard						0.9248959139787483	1.3144703892147953	83.22184636012908	
QualityControl | C0_kraken.Standard						3.0039927702411093	5.516745895011824	83.33924534748391	
QualityControl | C1_kraken.Standard						11.934001845532514	11.941518670130343	72.73647718366742	
QualityControl | C4_kraken.Standard						3.8631893602894	9.901079156465487	67.0483716212813	
QualityControl | C6_kraken.Standard						1.7648092502580968	3.538349303565917	86.80585955588059	
QualityControl | I0_kraken.Standard						2.647756772118973	13.488507629503912	75.16304069328513	
QualityControl | I1_kraken.Standard						0.522552823972668	1.4716072953167794	86.11503046779801	
QualityControl | I4_kraken.Standard						1.739948548683739	5.306654335019911	81.01366972727457	
QualityControl | I6_kraken.Standard						1.5417591843736982	2.6063377692816707	88.68573389211578	
QualityControl | MOCKCOMMUNITY_kraken.Standard						0.00011523991273614754	31.828153404019403	4.712390511606545	
RawData | 0206_0_R1	27.4009812491566	44.0	151.0	9.090909090909092	8256195.0				1.82
RawData | 0206_0_R2	26.802272781601204	44.0	151.0	9.090909090909092	8256195.0				
RawData | 1120_0_R1	42.625051622990604	40.0	151.0	18.181818181818183	8952877.0				1.67
RawData | 1120_0_R2	40.90781942588689	41.0	151.0	18.181818181818183	8952877.0				
RawData | 1363_4_R1	22.800231170449436	46.0	151.0	9.090909090909092	11110067.0				1.21
RawData | 1363_4_R2	22.283664688708555	46.0	151.0	9.090909090909092	11110067.0				
RawData | 1433_4_R1	36.59442958483455	45.0	151.0	9.090909090909092	9651934.0				0.96
RawData | 1433_4_R2	34.798839092152434	45.0	151.0	9.090909090909092	9651934.0				
RawData | 1451_6_R1	24.177025842750993	46.0	151.0	9.090909090909092	11916746.0				1.01
RawData | 1451_6_R2	23.29023335381426	47.0	151.0	9.090909090909092	11916746.0				
RawData | 1455_6_R1	47.13082528128499	45.0	151.0	9.090909090909092	10400783.0				0.9
RawData | 1455_6_R2	44.63101273378472	46.0	151.0	9.090909090909092	10400783.0				
RawData | 1538_6_R1	41.35750678301686	47.0	151.0	0.0	10331960.0				1.12
RawData | 1538_6_R2	41.6209232684797	47.0	151.0	0.0	10331960.0				
RawData | 1640_0_R1	37.26220450375286	45.0	151.0	9.090909090909092	10060189.0				1.34
RawData | 1640_0_R2	36.28500553882583	45.0	151.0	9.090909090909092	10060189.0				
RawData | 2282_0_R1	18.09565780325238	45.0	151.0	9.090909090909092	7901286.0				1.33
RawData | 2282_0_R2	17.75648479932606	45.0	151.0	9.090909090909092	7901286.0				
RawData | 2282_1_R1	30.306931254863784	48.0	151.0	9.090909090909092	10506494.0				0.58
RawData | 2282_1_R2	28.45896068601668	48.0	151.0	9.090909090909092	10506494.0				
RawData | 2282_4_R1	20.262676219175617	48.0	151.0	9.090909090909092	10400158.0				1.08
RawData | 2282_4_R2	19.196823987153493	48.0	151.0	9.090909090909092	10400158.0				
RawData | 2282_6_R1	36.07671552501996	46.0	151.0	9.090909090909092	9825324.0				2.86
RawData | 2282_6_R2	35.680063769194575	46.0	151.0	9.090909090909092	9825324.0				
RawData | 3029_4_R1	24.865922990522662	46.0	151.0	0.0	8911762.0				0.89
RawData | 3029_4_R2	24.935584455802314	46.0	151.0	9.090909090909092	8911762.0				
RawData | 3326_0_R1	23.38230108990264	43.0	151.0	9.090909090909092	11240126.0				1.35
RawData | 3326_0_R2	22.695240520524848	43.0	151.0	9.090909090909092	11240126.0				
RawData | 3510_1_R1	33.201048687640096	47.0	151.0	18.181818181818183	9014895.0				1.85
RawData | 3510_1_R2	33.46045920626234	48.0	151.0	18.181818181818183	9014895.0				
RawData | 3790_1_R1	20.452748377245896	44.0	151.0	18.181818181818183	8941951.0				3.69
RawData | 3790_1_R2	19.770869981938134	44.0	151.0	18.181818181818183	8941951.0				
RawData | 5235_0_R1	30.1301431266984	45.0	151.0	9.090909090909092	11147117.0				1.33
RawData | 5235_0_R2	29.719939058937555	45.0	151.0	9.090909090909092	11147117.0				
RawData | 5235_1_R1	27.19443755501237	47.0	151.0	9.090909090909092	11910619.0				2.12
RawData | 5235_1_R2	26.337056887158766	47.0	151.0	9.090909090909092	11910619.0				
RawData | 5235_4_R1	24.64466914703472	47.0	151.0	9.090909090909092	9440012.0				1.13
RawData | 5235_4_R2	23.930467241729517	48.0	151.0	9.090909090909092	9440012.0				
RawData | 5235_6_R1	22.229327354720766	46.0	151.0	9.090909090909092	8954354.0				1.03
RawData | 5235_6_R2	21.95994228799873	46.0	151.0	9.090909090909092	8954354.0				
RawData | 7344_0_R1	21.146675501444804	44.0	151.0	9.090909090909092	10842584.0				1.79
RawData | 7344_0_R2	20.508320894884918	44.0	151.0	9.090909090909092	10842584.0				
RawData | 7344_1_R1	41.97149333354755	44.0	151.0	9.090909090909092	10014149.0				0.9
RawData | 7344_1_R2	39.24955799008873	44.0	151.0	9.090909090909092	10014149.0				
RawData | 7344_4_R1	28.125648787424467	44.0	151.0	9.090909090909092	8186483.0				1.66
RawData | 7344_4_R2	27.499068819328002	44.0	151.0	9.090909090909092	8186483.0				
RawData | 7344_6_R1	35.463710753080704	44.0	151.0	9.090909090909092	7827887.0				2.75
RawData | 7344_6_R2	34.73739967012213	44.0	151.0	9.090909090909092	7827887.0				
RawData | 7412_0_R1	30.455728952909396	43.0	151.0	9.090909090909092	9801853.0				0.91
RawData | 7412_0_R2	29.529728728769342	44.0	151.0	9.090909090909092	9801853.0				
RawData | 7909_0_R1	42.25041298753015	47.0	151.0	18.181818181818183	11084520.0				1.87
RawData | 7909_0_R2	42.18693359814435	47.0	151.0	18.181818181818183	11084520.0				
RawData | 7909_1_R1	31.312599384871092	47.0	151.0	9.090909090909092	9438339.0				0.78
RawData | 7909_1_R2	30.58540818505476	47.0	151.0	9.090909090909092	9438339.0				
RawData | 7909_4_R1	26.327007326885393	46.0	151.0	0.0	9454694.0				0.99
RawData | 7909_4_R2	26.495883440789385	46.0	151.0	9.090909090909092	9454694.0				
RawData | 7909_6_R1	31.03841008014912	47.0	151.0	9.090909090909092	11852200.0				0.73
RawData | 7909_6_R2	30.327455798334682	48.0	151.0	9.090909090909092	11852200.0				
RawData | 9045_1_R1	38.92547833303397	45.0	151.0	9.090909090909092	8484585.0				0.89
RawData | 9045_1_R2	39.04440166113395	45.0	151.0	9.090909090909092	8484585.0				
RawData | 9255_1_R1	40.72848883110635	45.0	151.0	0.0	9280945.0				0.85
RawData | 9255_1_R2	39.645292811953766	45.0	151.0	0.0	9280945.0				
RawData | 9353_0_R1	39.68348793233819	45.0	151.0	9.090909090909092	8029984.0				0.77
RawData | 9353_0_R2	39.15977968756137	45.0	151.0	9.090909090909092	8029984.0				
RawData | 9356_0_R1	25.937568984187237	48.0	151.0	18.181818181818183	10943261.0				1.73
RawData | 9356_0_R2	25.430696577894324	48.0	151.0	18.181818181818183	10943261.0				
RawData | 9432_4_R1	30.51676420944584	47.0	151.0	0.0	9896106.0				1.05
RawData | 9432_4_R2	30.48377335223242	47.0	151.0	0.0	9896106.0				
RawData | 9532_0_R1	40.16817769674481	45.0	151.0	9.090909090909092	8407258.0				1.28
RawData | 9532_0_R2	39.10727282424576	45.0	151.0	9.090909090909092	8407258.0				
RawData | 9648_0_R1	39.355752247533104	43.0	151.0	9.090909090909092	7385495.0				1.03
RawData | 9648_0_R2	37.790041488819945	43.0	151.0	9.090909090909092	7385495.0				
RawData | 9824_6_R1	19.827353858481956	46.0	151.0	0.0	8753290.0				1.07
RawData | 9824_6_R2	19.292990330290763	46.0	151.0	0.0	8753290.0				
RawData | C0_R1	38.59354249143353	45.0	151.0	9.090909090909092	11111025.0				0.7
RawData | C0_R2	37.984868606384616	45.0	151.0	9.090909090909092	11111025.0				
RawData | C1_R1	37.47356062834585	45.0	151.0	18.181818181818183	9897184.0				2.97
RawData | C1_R2	37.00325385386104	45.0	151.0	18.181818181818183	9897184.0				
RawData | C4_R1	20.337589017043484	46.0	151.0	9.090909090909092	9764998.0				0.73
RawData | C4_R2	20.140623833348727	46.0	151.0	9.090909090909092	9764998.0				
RawData | C6_R1	31.83750363920224	44.0	151.0	9.090909090909092	9368553.0				1.4
RawData | C6_R2	31.882974564356687	44.0	151.0	9.090909090909092	9368553.0				
RawData | I0_R1	29.70822363379324	43.0	151.0	9.090909090909092	9421717.0				4.61
RawData | I0_R2	29.920275641126352	43.0	151.0	18.181818181818183	9421717.0				
RawData | I1_R1	25.365352936125404	45.0	151.0	9.090909090909092	8324968.0				2.76
RawData | I1_R2	25.14118510842198	45.0	151.0	9.090909090909092	8324968.0				
RawData | I4_R1	23.008642702848164	46.0	151.0	9.090909090909092	9395467.0				1.18
RawData | I4_R2	23.214687246726683	46.0	151.0	9.090909090909092	9395467.0				
RawData | I6_R1	26.999624668063433	46.0	151.0	9.090909090909092	10459552.0				0.86
RawData | I6_R2	26.562799758603234	46.0	151.0	9.090909090909092	10459552.0				
RawData | MOCKCOMMUNITY_R1	32.840316593160395	52.0	151.0	0.0	9713681.0				0.56
RawData | MOCKCOMMUNITY_R2	31.616302948739857	52.0	151.0	0.0	9713681.0				
