feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Otu_160	Timepoint	M1	-0.354224091654828	1.20345310628959	20	10	0.775174133182742	0.907874038011453
Otu_68	Timepoint	M1	0.421595707135856	1.72867007076357	20	4	0.810078417685926	0.92790800571297
Otu_84	Timepoint	M1	-0.218917235561565	1.05424786839563	20	4	0.837831558731178	0.942560503572575
Otu_32	Timepoint	M1	0.0931389990224034	0.831511666634651	20	9	0.913272603220511	0.949571389345762
Otu_36	Timepoint	M1	-0.169650592383651	1.12518500158925	20	11	0.883477882621689	0.949571389345762
Otu_136	Timepoint	M1	0.140431764387306	1.10062599037875	20	17	0.901276769204096	0.949571389345762
Otu_181	Timepoint	M1	-0.0958673159101238	0.921527901301296	20	4	0.919426265874468	0.949571389345762
Otu_185	Timepoint	M1	0.228544927241489	1.50818657779612	20	15	0.882895108385969	0.949571389345762
Otu_152	Timepoint	M1	0.0765613243392579	1.31639581666124	20	8	0.954892184762331	0.970293671613336
Otu_116	Timepoint	M1	0.00485905551016437	0.698665845945189	20	8	0.994602666537643	0.994602666537643
